"번호","개방서비스명","개방서비스id","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"155","골프장","10_31_02_P","5050000","CDFH2302012000000001","20001109","","01","영업/정상","13","영업중","","","","","054-748-8100","","780280","경상북도 경주시 북군동 375-1번지","경상북도 경주시 보문로 182-98 (북군동)","780280","경주컨트리클럽","20111030132521","I","2018-08-31 23:59:59.0","","404233.772715983","264961.135288542","골프장","사립","0","","","","","","",
"156","골프장","10_31_02_P","5050000","CDFH2302011987000001","19871021","","01","영업/정상","13","영업중","","","","","054-745-1680","","780290","경상북도 경주시 신평동 375번지","","","경주 보문컨트리(대중제)","20060405140854","I","2018-08-31 23:59:59.0","","406456.088092957","262710.907303337","골프장","사립","1","2","","7460.41","","","",
"157","골프장","10_31_02_P","5570000","CDFH2302012019000001","20190731","","01","영업/정상","13","영업중","","","","","","","","충청북도 증평군 도안면 연촌리 산 58 클럽하우스","충청북도 증평군 도안면 벼루재길 334, 클럽하우스","","(주)블랙스톤에듀팜리조트 골프장","20210817095019","U","2021-08-19 02:40:00.0","","251993.205064","371691.657376","골프장","사립","","1","1","6191","","","",
"158","골프장","10_31_02_P","5690000","CDFH2302012019000001","20190906","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 전의면 달전리 산 72","세종특별자치시 전의면 의당전의로 252","30007","세종레이캐슬 골프&리조트","20200811173254","U","2020-08-13 02:40:00.0","","216871.402956429","346178.479242744","골프장","사립","Y","1","8","18416.39","","","",
"159","골프장","10_31_02_P","6520000","CDFH2302011999100001","19990115","","01","영업/정상","13","영업중","","","","","064-793-5007","","699921","제주특별자치도 서귀포시 안덕면 상천리 산 62-3번지","제주특별자치도 서귀포시 안덕면 산록남로 863","","핀크스 골프클럽","20120207105534","I","2018-08-31 23:59:59.0","","142871.390311","-19869.2344381","골프장","사립","0","","","","","","",
"160","골프장","10_31_02_P","6520000","CDFH2302011995100001","19950301","","01","영업/정상","13","영업중","","","","","","","699921","제주특별자치도 서귀포시 안덕면 광평리 산 125번지","","","파라다이스골프장","20030308111527","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","5000","","","",
"161","골프장","10_31_02_P","3940000","CDFH2302012015000001","20150427","","01","영업/정상","13","영업중","","","","","","","412040","경기도 고양시 덕양구 원흥동 528-37번지","","","한양컨트리클럽 대중제 9홀 골프장","20180806090117","I","2018-08-31 23:59:59.0","","188563.687493571","461496.092195912","골프장","사립","","","","4333.57","","","",
"162","골프장","10_31_02_P","3940000","CDFH2302012008000001","20081202","","01","영업/정상","13","영업중","","","","","","","410340","경기도 고양시 일산동구 산황동 산 54번지","","","일산스프링힐스 컨트리클럽","20100315204956","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","1","3593.31","","","",
"163","골프장","10_31_02_P","3940000","CDFH2302011991000001","19910328","","01","영업/정상","13","영업중","","","","","02-359-0123","","412090","경기도 고양시 덕양구 동산동 53-124번지","경기도 고양시 덕양구 통일로 43-168  (동산동)","","1.2.3","20081118175203","I","2018-08-31 23:59:59.0","","191644.061203511","459839.590466714","골프장","사립","0","","","2188","","","",
"164","골프장","10_31_02_P","3940000","CDFH2302011990000001","19900904","","01","영업/정상","13","영업중","","","","","031-962-0101","","412510","경기도 고양시 덕양구 벽제동 465번지","경기도 고양시 덕양구 혜음로 301  (벽제동)","","올림픽 골프장","20170501153936","I","2018-08-31 23:59:59.0","","190776.247464607","468767.750001127","골프장","사립","0","","","3231.25","","","",
"165","골프장","10_31_02_P","3940000","CDFH2302011974000001","19740320","","01","영업/정상","13","영업중","","","","","02-353-0091","","412070","경기도 고양시 덕양구 신원동 227-12","경기도 고양시 덕양구 통일로 375  (신원동)","","뉴코리아 컨트리클럽","20201015161505","U","2020-10-17 02:40:00.0","","189161.691345477","462529.533843777","골프장","사립","0","","","4719.51","","","",
"166","골프장","10_31_02_P","3940000","CDFH2302011967000001","19640928","","01","영업/정상","13","영업중","","","","","031-969-0810","","412030","경기도 고양시 덕양구 원당동 198-114번지","경기도 고양시 덕양구 고양대로1643번길 164  (원당동)","","한양컨트리클럽","20191023163050","U","2019-10-25 02:40:00.0","","187096.075079066","461590.52649613","골프장","사립","0","","","10225.53","","","",
"167","골프장","10_31_02_P","3940000","CDFH2302012011000001","20110908","","01","영업/정상","13","영업중","","","","","031-964-8868","","412060","경기도 고양시 덕양구 도내동 457-1번지","경기도 고양시 덕양구 흥도로 304-23  (도내동)","","고양컨트리클럽","20180706090202","I","2018-08-31 23:59:59.0","","187432","459385","골프장","사립","","","","3790.52","","","",
"168","골프장","10_31_02_P","3940000","CDFH2302012010000001","20100323","","01","영업/정상","13","영업중","","","","","031-969-2000","","410340","경기도 고양시 일산동구 산황동 산 54번지 일원","","","일산스프링힐스 컨트리클럽","20100323095342","I","2018-08-31 23:59:59.0","","","","골프장","사립","","","","3670.61","","","",
"169","골프장","10_31_02_P","4810000","CDFH2302012011000001","20110225","","01","영업/정상","13","영업중","","","","","061-808-8011","","","전라남도 여수시 둔덕동 286-8번지 (주)여수관광레저","전라남도 여수시 좌수영로 641 (주)여수관광레저 (둔덕동)","59635","(주)여수관광레저","20191217104015","U","2019-12-19 02:40:00.0","","263300.377033","142492.612447","골프장","사립","Y","1","","7180","","","",
"170","골프장","10_31_02_P","4700000","CDFH2302012014000001","20141014","","01","영업/정상","13","영업중","","","","","","","590972","전라북도 남원시 대산면 대곡리 산 106번지","전라북도 남원시 대산면 월계길 11","590972","남원상록골프장","20141014163833","I","2018-08-31 23:59:59.0","","226986.04672100000","213417.12473500000","골프장","사립","Y","1","","4647","","","",
"171","골프장","10_31_02_P","5700000","CDFH2302011975000001","19751028","","01","영업/정상","13","영업중","","","","","883-7000","","469109","경기도 여주시 월송동 35-10","경기도 여주시 월평로 78 (월송동)","469109","여주컨트리클럽","20210223081423","U","2021-02-25 02:40:00.0","","253695.91332900000","420494.85406000000","골프장","사립","1","","","6472.26","2674","","",
"172","골프장","10_31_02_P","4040000","CDFH2302012002000001","20021218","","01","영업/정상","13","영업중","","","","","02-480-5660","","465200","경기도 하남시 감이동 260-1","경기도 하남시 감이로 317 (감이동)","465200","(주)캐슬렉스서울 캐슬렉스골프클럽","20201008174951","U","2020-10-10 02:40:00.0","","214707.353538017","443992.017408014","골프장","사립","0","","13","6788.21","","","",
"173","골프장","10_31_02_P","5700000","CDFH2302011992000004","19920814","","01","영업/정상","13","영업중","","","","","884-9950","","469708","경기도 여주시 가남읍 본두리 1-2번지","경기도 여주시 가남읍 여주남로 541","469708","금강컨트리클럽","20160802092120","I","2018-08-31 23:59:59.0","","252634.22400982","415975.772113025","골프장","사립","1","","","9162.5","","","",
"174","골프장","10_31_02_P","5700000","CDFH2302011992000003","19920309","","01","영업/정상","13","영업중","","","","","884-0701","","469841","경기도 여주시 대신면 상구리 산 11-1","경기도 여주시 대신면 고달사로 67","469841","블루헤런G.C","20210819172608","U","2021-08-21 02:40:00.0","","257360.46430655","431875.808228529","골프장","사립","1","0","0","7891.34","0","","",
"175","골프장","10_31_02_P","5700000","CDFH2302011992000002","19920221","","01","영업/정상","13","영업중","","","","","886-8100","","469832","경기도 여주시 금사면 장흥리 산 1","경기도 여주시 금사면 장흥로 416","469832","이포골프장","20210108133344","U","2021-01-10 02:40:00.0","","243766.950517115","431874.785758946","골프장","사립","1","","","7128.98","","","",
"176","골프장","10_31_02_P","5700000","CDFH2302011992000001","19920131","","01","영업/정상","13","영업중","","","","","884-7000","","469883","경기도 여주시 가남읍 양귀리 산 69번지","경기도 여주시 가남읍 솔모로그린길 171","","솔모로골프장","20190419131444","U","2019-04-21 02:40:00.0","","251743.990723393","410088.349032993","골프장","사립","1","","","18085","2120","","",
"177","골프장","10_31_02_P","4140000","CDFH2302012008000001","20080423","","01","영업/정상","13","영업중","","","","","1577-3510","","486909","경기도 연천군 전곡읍 고능리 101번지","","","노스폴 컨트리클럽","20131230104058","I","2018-08-31 23:59:59.0","","204071.069684381","499898.458297252","골프장","사립","0","","","","","","",
"178","골프장","10_31_02_P","4140000","CDFH2302012016000001","20160818","","01","영업/정상","13","영업중","","","","","031-832-7022","","","","경기도 연천군 백학면 노아로297번길 179-55","","자유로컨트리클럽","20180907180036","U","2018-09-07 23:59:59.0","","195863","499419","골프장","사립","Y","1","6","10820.97","","","",
"179","골프장","10_31_02_P","5590000","CDFH2302012014000001","20140221","","01","영업/정상","13","영업중","","","","","","","","","경기도 양주시 만송로 244 (만송동)","11494","로얄개발(주) 레이크우드 골프장","20210217084429","U","2021-02-19 02:40:00.0","","207666.870394211","475512.035117671","골프장","사립","Y","","","194.29","","","",
"180","골프장","10_31_02_P","5590000","CDFH2302011995000001","19950624","","01","영업/정상","13","영업중","","","","","","","482845","경기도 양주시 광적면 비암리 산 23-1","경기도 양주시 광적면 쇠장이길 435","482845","(주)티에스개발 송추컨트리클럽","20210324084810","U","2021-03-26 02:40:00.0","","192100.337744514","477127.820905632","골프장","사립","0","","12","7734","","","",
"181","골프장","10_31_02_P","5590000","CDFH2302011976000001","19760518","","01","영업/정상","13","영업중","","","","","820-1515","","482080","경기도 양주시 만송동 514-1","경기도 양주시 만송로 244  (만송동)","","로얄개발(주) 레이크우드 골프장","20210217084418","U","2021-02-19 02:40:00.0","","207672.757007897","475762.694476609","골프장","사립","0","","10","5438.53","","","",
"182","골프장","10_31_02_P","5700000","CDFH2302012006000002","20060929","","01","영업/정상","13","영업중","","","","","","","469872","경기도 여주시 점동면 현수리 산 13번지","경기도 여주시 점동면 소피아그린길 84","469872","소피아그린","20190320133115","U","2019-03-22 02:40:00.0","","262558.481893985","408776.863112327","골프장","사립","1","","","8606.64","","","",
"183","골프장","10_31_02_P","5700000","CDFH2302012006000001","20060303","","01","영업/정상","13","영업중","","","","","882-5050","","469882","경기도 여주시 가남읍 송림리 214번지","경기도 여주시 가남읍 송삼로 191","469882","빅토리아일반대중골프장","20200316180546","U","2020-03-18 02:40:00.0","","255888.924654415","408779.202610406","골프장","사립","1","","8","2213.15","","","",
"184","골프장","10_31_02_P","5700000","CDFH2302012004000001","20040226","","01","영업/정상","13","영업중","","","","","031-880-8656","","469863","경기도 여주시 강천면 부평리 산 47-1번지","경기도 여주시 강천면 부평로 580","","캐슬파인리조트주식회사","20150918145646","I","2018-08-31 23:59:59.0","","265715.966689761","423073.42355792","골프장","사립","0","","","7152.94","","","",
"185","골프장","10_31_02_P","5700000","CDFH2302012003000001","20030621","","01","영업/정상","13","영업중","","","","","","","469892","경기도 여주시 산북면 상품리 산 108번지","경기도 여주시 산북면 광여로 1115","469892","렉스필드 컨트리클럽","20191112113321","U","2019-11-14 02:40:00.0","","237252.686678122","433057.371204427","골프장","사립","1","","","13704.86","","","",
"186","골프장","10_31_02_P","5700000","CDFH2302012000000001","20000531","","01","영업/정상","13","영업중","","","","","880-6700","","469803","경기도 여주시 하거동 산 49번지","경기도 여주시 가여로 532 (하거동)","469803","남여주대중골프장","20170126162301","I","2018-08-31 23:59:59.0","","256243.05307200000","414750.12591200000","골프장","사립","1","","","11135.16","","","",
"187","골프장","10_31_02_P","5700000","CDFH2302011998000001","19980923","","01","영업/정상","13","영업중","","","","","881-1500","","469851","경기도 여주시 북내면 운촌리 산 40","경기도 여주시 북내면 운촌길 254","","스카이밸리골프장","20210125155053","U","2021-01-27 02:40:00.0","","265018.580751058","427046.874573237","골프장","사립","1","","","14901.64","","","",
"188","골프장","10_31_02_P","5700000","CDFH2302011995000001","19950327","","01","영업/정상","13","영업중","","","","","","","469853","경기도 여주시 북내면 덕산리 산 3-1번지","경기도 여주시 북내면 신라그린길 84","469853","신라컨트리클럽","20200421102536","U","2020-04-23 02:40:00.0","","262338.468623772","429488.351784047","골프장","사립","1","","","9514.75","","","",
"189","골프장","10_31_02_P","5700000","CDFH2302011993000001","19930508","","01","영업/정상","13","영업중","","","","","884-8400","","469884","경기도 여주시 가남읍 삼군리 산 44번지","경기도 여주시 가남읍 자유그린길 69","469884","자유컨트리클럽","20200311150953","U","2020-03-13 02:40:00.0","","250376.644322142","412080.863508975","골프장","사립","1","","","32024.13","","","",
"190","골프장","10_31_02_P","5700000","CDFH2302012012000001","20120613","","01","영업/정상","13","영업중","","","","","","","469863","경기도 여주시 강천면 부평리 418-1번지","경기도 여주시 강천면 강문로 872","","여주썬밸리 컨트리클럽","20180111154659","I","2018-08-31 23:59:59.0","","265289.636073615","418768.150126795","골프장","사립","Y","","3","3066.67","0","","",
"191","골프장","10_31_02_P","5700000","CDFH2302012011000002","20111209","","01","영업/정상","13","영업중","","","","","","","469863","경기도 여주시 강천면 부평리 산 59-3","경기도 여주시 강천면 부평로 609","469863","360도 컨트리클럽","20210308162650","U","2021-03-10 02:40:00.0","","265670.58883800000","422934.13593000000","골프장","사립","","1","8","9566.81","0","","",
"192","골프장","10_31_02_P","5700000","CDFH2302012011000001","20110427","","01","영업/정상","13","영업중","","","","","","","469855","경기도 여주시 오금동 422-3","경기도 여주시 여양로 530 (오금동)","","주식회사 한라세라지오","20201104155422","U","2020-11-06 02:40:00.0","","258030.336615108","425208.995921645","골프장","사립","Y","1","3","8790.85","390","","",
"193","골프장","10_31_02_P","5700000","CDFH2302012009000002","20091007","","01","영업/정상","13","영업중","","","","","","","469801","경기도 여주시 연라동 산 67-1","경기도 여주시 명품1로 76 (연라동)","","해슬리나인브릿지 컨트리클럽","20210817142709","U","2021-08-19 02:40:00.0","","254799.08996600000","417832.23001300000","골프장","사립","","1","0","28413.19","280","","",
"194","골프장","10_31_02_P","5700000","CDFH2302012007000001","20070425","","01","영업/정상","13","영업중","","","","","031-882-9202","","469883","경기도 여주시 가남읍 안금리 산 103번지","경기도 여주시 가남읍 아리지그린길 68","","아리지 골프장","20170602085615","I","2018-08-31 23:59:59.0","","252780.815093238","412615.746328495","골프장","사립","0","","","8714.58","","","",
"195","골프장","10_31_02_P","4070000","CDFH2302012014000001","20140331","","01","영업/정상","13","영업중","","","","","","","467883","경기도 이천시 설성면 송계리 산 25-1번지","","","이천마이다스골프앤리조트","20140331150429","I","2018-08-31 23:59:59.0","","","","골프장","사립","","","","","","","",
"196","골프장","10_31_02_P","4070000","CDFH2302012013000001","20130809","","01","영업/정상","13","영업중","","","","","639-0077","","","경기도 이천시 율면 월포리 산 138-19","경기도 이천시 율면 임오산로 296","17423","이천실크밸리골프클럽","20201228094452","U","2020-12-30 02:40:00.0","","250909.38622222","397695.957518926","골프장","사립","","1","","11784.53","","","",
"197","골프장","10_31_02_P","4070000","CDFH2302012010000002","20100827","","01","영업/정상","13","영업중","","","","","031-643-2000","","467902","경기도 이천시 장호원읍 풍계리 산 52번지","","","대중제 골프장(9홀)","20100827130949","I","2018-08-31 23:59:59.0","","","","골프장","사립","","","","","","","",
"198","골프장","10_31_02_P","4070000","CDFH2302012010000001","20100323","","01","영업/정상","13","영업중","","","","","","","467902","경기도 이천시 장호원읍 풍계리 산 52번지","","","블랙스톤골프장(회원제)","20161229142459","I","2018-08-31 23:59:59.0","","","","골프장","사립","","","","","","","",
"199","골프장","10_31_02_P","4070000","CDFH2302012009000001","20090901","","01","영업/정상","13","영업중","","","","","031-630-7014","","","경기도 이천시 모가면 소고리 640-6","경기도 이천시 모가면 공원로 64","17407","사우스스프링스C.C","20210415085644","U","2021-04-17 02:40:00.0","","239705.273080265","408807.576944262","골프장","사립","","","","12682.68","","","",
"200","골프장","10_31_02_P","4070000","CDFH2302012008000003","20081218","","01","영업/정상","13","영업중","","","","","645-6140","","467851","경기도 이천시 대월면 도리리 66번지","경기도 이천시 대월면 대월로 627-141","","더반 골프클럽","20191111122233","U","2019-11-13 02:40:00.0","","243475.608955394","411799.697197476","골프장","사립","0","","","6792","","","",
"201","골프장","10_31_02_P","4070000","CDFH2302012008000002","20080605","","01","영업/정상","13","영업중","","","","","636-3577","","","경기도 이천시 모가면 어농리 386-1번지","경기도 이천시 모가면 어농로 272","17406","비에이비스타 골프장","20181008092108","U","2018-10-10 02:37:32.0","","237025.671675748","408991.623486773","골프장","사립","0","","","13784.82","17","","",
"202","골프장","10_31_02_P","4070000","CDFH2302012008000001","20080102","","01","영업/정상","13","영업중","","","","","","","467851","경기도 이천시 대월면 도리리 277번지","","","더반골프클럽","20080102145251","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","","","","",
"203","골프장","10_31_02_P","4070000","CDFH2302012003000001","20030703","","01","영업/정상","13","영업중","","","","","636-3577","","","경기도 이천시 모가면 어농리 386-1번지","경기도 이천시 모가면 어농로 272","17406","비에이비스타C.C.(대중제)","20181008092032","U","2018-10-10 02:37:32.0","","237025.671675748","408991.623486773","골프장","사립","","","","861","","","",
"204","골프장","10_31_02_P","4070000","CDFH2302011996000002","19960106","","01","영업/정상","13","영업중","","","","","","","467871","경기도 이천시 모가면 어농리 산 86번지","","","백암비스타골프장","20030121102521","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","1717056","","","",
"205","골프장","10_31_02_P","4070000","CDFH2302011996000001","19960805","","01","영업/정상","13","영업중","","","","","630-7500","","","경기도 이천시 모가면 두미리 419 뉴스프링C.C","경기도 이천시 모가면 사실로527번길 158, 뉴스프링빌C.C.","17406","뉴스프링빌골프장","20200709180800","U","2020-07-11 02:40:00.0","","238263.44452947","405932.926652506","골프장","사립","0","","","9405.91","212","","",
"206","골프장","10_31_02_P","4070000","CDFH2302011994000001","19940629","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 원삼면 맹리 산 29-8번지","","","지산골프장","20030120132220","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","1756252","","","",
"207","골프장","10_31_02_P","4070000","CDFH2302011991000001","19910716","","01","영업/정상","13","영업중","","","","","","","469883","경기도 여주군 가남면 양귀리 산 59번지","","","한일골프장","20030120133112","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","1918640","","","",
"208","골프장","10_31_02_P","4070000","CDFH2302011986000001","19861006","","01","영업/정상","13","영업중","","","","","640-8114","","","경기도 이천시 호법면 매곡리 704-2","경기도 이천시 호법면 장자터로 115","17396","에이치원 클럽(H1 CLUB)","20201012170942","U","2020-10-14 02:40:00.0","","235653.987263479","409694.663605375","골프장","사립","0","","","8164.28","29","","",
"209","골프장","10_31_02_P","4070000","CDFH2302012016000002","20161228","","01","영업/정상","13","영업중","","","","","031-630-0815","","","경기도 이천시 장호원읍 풍계리 41-41번지","경기도 이천시 장호원읍 장여로 459-160","17414","블랙스톤골프장","20200311100330","U","2020-03-13 02:40:00.0","","254709.922386563","406826.131973447","골프장","사립","","","","","","","",
"210","골프장","10_31_02_P","4070000","CDFH2302012016000001","20160830","","01","영업/정상","13","영업중","","","","","645-1800","","","경기도 이천시 모가면 두미리 산 39-9번지","경기도 이천시 모가면 사실로725번길 119-73","17406","웰링턴컨트리클럽","20190212150211","U","2019-02-14 02:40:00.0","","236850.958084155","407551.223806998","골프장","사립","","1","","17888","270","","",
"211","골프장","10_31_02_P","4070000","CDFH2302012014000002","20141126","","01","영업/정상","13","영업중","","","","","640-0123","","467880","경기도 이천시 설성면","경기도 이천시 설성면 설가로 602","","이천 마이다스 골프 앤 리조트","20181008092424","U","2018-10-10 02:37:32.0","","246502","408493","골프장","사립","","","","8697.26","","","",
"212","골프장","10_31_02_P","5700000","CDFH2302012014000002","20141211","","01","영업/정상","13","영업중","","","","","","","469863","경기도 여주시 강천면 부평리 418-1","경기도 여주시 강천면 강문로 872","","썬밸리 컨트리클럽","20201023163731","U","2020-10-25 02:40:00.0","","265289.636073615","418768.150126795","골프장","사립","","","","","","","",
"213","골프장","10_31_02_P","5700000","CDFH2302012014000001","20140501","","01","영업/정상","13","영업중","","","","","","","469873","경기도 여주시 점동면 사곡리 117번지","경기도 여주시 점동면 점동로 181","","페럼클럽","20171213181950","I","2018-08-31 23:59:59.0","","261316.05594100000","412361.77084200000","골프장","사립","Y","1","","14770.81","","","",
"214","골프장","10_31_02_P","4230000","CDFH2302012001000001","20010724","","01","영업/정상","13","영업중","","","","","02-534-2283","","217807","강원도 속초시 금호동 600-7번지","강원도 속초시 영랑호반길 140 (금호동)","217807","레익스빌골프장","20111030130016","I","2018-08-31 23:59:59.0","","338374.412974796","524654.315852629","골프장","사립","0","","","","","","",
"215","골프장","10_31_02_P","5600000","CDFH2302011991000001","19910304","","03","폐업","03","폐업","20190502","","","","","","","경기도 포천시 내촌면 소학리 산 114-1번지","경기도 포천시 내촌면 금강로2536번길 27","11188","(주)예지실업 베어스타운 일반대중골프장","20190502175942","U","2019-05-04 02:40:00.0","","222405.13167100000","477699.39902400000","골프장","사립","","","","","","","",
"216","골프장","10_31_02_P","4080000","CDFH2302012011000002","20110129","","03","폐업","03","폐업","20160325","","","","","","456892","경기도 안성시 죽산면 장능리 160번지","경기도 안성시 죽산면 녹배길 175","456892","에덴블루C.C","20160328123621","I","2018-08-31 23:59:59.0","","235719.851518507","395432.303352102","골프장","사립","","1","","16913.37","","","",
